Speaker_ID,Speaker_Type,Speaker_gender,Speaker_L1,Filename,Recording_description,intelligibility,duration_sec
239,IEP,Male,Chinese,239_Prac_02.flac,Classroom presentation on pandemics practice,79.08,226.35
240,IEP,Female,Chinese,240_Prac_01.flac,Classroom presentation on education systems practice,98.8,513.12
240,IEP,Female,Chinese,240_Pres_01.flac,Classroom presentation on education systems (in class),95.8,499.2
243,IEP,Male,Chinese,243_Pres_01.flac,Classroom presentation on education systems (in class),97.4,450.24
248,IEP,Male,Chinese,248_Prac_02.flac,Classroom presentation on pandemics practice,74.41,267.55
248,IEP,Male,Chinese,248_Pres_01.flac,Classroom presentation on education systems (in class),95.9,406.5
251,IEP,Male,Chinese,251_Prac_01.flac,Classroom presentation on education systems practice,92.5,119.99
251,IEP,Male,Chinese,251_Pres_01.flac,Classroom presentation on education systems (in class),97.1,543.34
252,IEP,Female,Chinese,252_Prac_01.flac,Classroom presentation on education systems practice,98,320.81
254,IEP,Male,Chinese,254_Prac_01.flac,Classroom presentation on education systems practice,81,435.16
254,IEP,Male,Chinese,254_Pres_01.flac,Classroom presentation on education systems (in class),97.28,383.52
255,IEP,Female,Chinese,255_Pres_01.flac,Classroom presentation on education systems (in class),98.22,453.61
256,IEP,Female,Chinese,256_Prac_02.flac,Classroom presentation on pandemics practice,97.75,430.62
256,IEP,Female,Chinese,256_Pres_01.flac,Classroom presentation on education systems (in class),97.41,332.58
257,IEP,Female,Chinese,257_Prac_01.flac,Classroom presentation on education systems practice,92.7,139.49
257,IEP,Female,Chinese,257_Pres_02.flac,Classroom presentation on pandemics (in class),95.8,225.43
259,ITA,Male,Nepali / Hindi,259_Prac_01.flac,ITA Microteaching Practice,93.1,209.99
259,ITA,Male,Nepali / Hindi,259_Pres_01.flac,ITA Microteaching (in class),85.2,194.53
263,ITA,Female,Chinese,263_Prac_01.flac,ITA Microteaching Practice,91.41,179.92
263,ITA,Female,Chinese,263_Prac_02.flac,ITA Microteaching Practice,95,179.87
263,ITA,Female,Chinese,263_Pres_01.flac,ITA Microteaching (in class),95.41,179.82
264,ITA,Female,Chinese,264_Prac_01.flac,ITA Microteaching Practice,86.06,248.37
264,ITA,Female,Chinese,264_RealPres_01.flac,ITA Microteaching (in class),93.1,139.34
265,ITA,Male,Chinese,265_Prac_01.flac,ITA Microteaching Practice,89,294.55
268,ITA,Male,Chinese,268_FinalJour_01.flac,ITA Video Journal,96,178.6
268,ITA,Male,Chinese,268_PracJour_01.flac,ITA Video Journal,95.2,377.16
273,ITA,Female,Chinese,273_PracJour_01.flac,ITA Video Journal,95.3,318.32
274,ITA,Male,Russian,274_PracJour_01.flac,ITA Microteaching Practice,,182.1
274,ITA,Male,Russian,274_RealPrac_01.flac,ITA Video Journal,90.5,348.98
274,ITA,Male,Russian,274_RealPres_01.flac,ITA Microteaching (in class),,209.67
278,ITA,Female,Chinese,278_FinalJour_01.flac,ITA Video Journal,96.3,338.77
278,ITA,Female,Chinese,278_PracJour_01.flac,ITA Video Journal Practice,96.3,
292,ITA,Male,Chinese,292_FinalJour_01.flac,ITA Video Journal,99,408.75
292,ITA,Male,Chinese,292_PracJour_01.flac,ITA Video Journal Practice,98.1,400.12
298,IEP,Female,Spanish,298_Prac_01.flac,Classroom newspaper article report practice,96.8,202.93
298,IEP,Female,Spanish,298_Prac_02.flac,Classroom newspaper article report practice,94.4,190.8
298,IEP,Female,Spanish,298_Pres_02.flac,Classroom newspaper article report (final),96.34,190.15
299,IEP,Male,Spanish,299_Pres_01.flac,Classroom newspaper article report (final),85.83,159.95
299,IEP,Male,Spanish,299_Pres_02.flac,Classroom newspaper article report (final),82.41,170.43
305,IEP,Female,Dari / Pashto,305_Prac_01.flac,Classroom newspaper article report practice,94.4,182.01
306,IEP,Female,Dari / Pashto,306_Prac_02.flac,Classroom newspaper article report practice,84.09,299.94
307,IEP,Female,Farsi / Dari / Bengali ,307_Pres_01.flac,Classroom newspaper article report practice,96.7,183.15
307,IEP,Female,Farsi / Dari / Bengali ,307_Pres_02.flac,Classroom newspaper article report (final),92.4,158.79
307,IEP,Female,Farsi / Dari / Bengali ,307_RealPrac_02.flac,Classroom newspaper article report (final),99.7,181.85
311,ITA,Female,Korean,311_Prac_02.flac,ITA Microteaching Practice,99.7,328.44
311,ITA,Female,Korean,311_Pres_01.flac,ITA Microteaching (in class),98.3,223.68
311,ITA,Female,Korean,311_Pres_02.flac,ITA Microteaching (in class),98.7,307.31
403,ITA,Male,Spanish,403_Pres_01.flac,ITA Research Report,,
